domain,reliability_label,wiki_citation
9news.com,0.0,0
nbc11news.com,0.0,0
12news.com,0.0,0
wibw.com,0.0,0
wifr.com,0.0,0
247wallst.com,0.0,0
24ur.com,0.0,0
38north.org,0.0,0
audacy.com,0.0,0
join1440.com,0.0,0
abc7chicago.com,0.0,0
abc7ny.com,0.0,0
abc12.com,0.0,0
abs-cbn.com,0.0,0
actionnewsjax.com,0.0,0
adfontesmedia.com,0.0,0
lenconnect.com,-0.5,0
adweek.com,0.0,0
africacheck.org,0.0,0
agdaily.com,0.0,0
afp.com,0.0,0
ansa.it,0.0,0
agerpres.ro,0.0,0
agweb.com,0.5,0
ahwatukee.com,0.0,0
airforcetimes.com,0.0,0
airwars.org,0.0,0
alabamanow.com,0.0,0
alreporter.com,0.0,0
democratherald.com,0.0,0
ad.nl,0.0,0
allafrica.com,0.0,0
gmfus.org,0.0,0
alloaadvertiser.com,0.0,0
thealpenanews.com,0.0,0
amarillo.com,0.0,0
americanheritage.com,0.0,0
americanpressinstitute.org,0.0,0
amomama.com,0.0,0
adn.com,0.0,0
independentmail.com,0.0,0
andoveradvertiser.co.uk,0.0,0
mlive.com,0.5,0
arcdigital.media,0.0,0
ardrossanherald.com,0.0,0
arirang.com,0.0,0
armytimes.com,0.0,0
arstechnica.com,0.0,0
asiatimes.com,0.0,0
summitdaily.com,0.0,0
athensmessenger.com,0.0,0
atlasobscura.com,0.0,0
auburnpub.com,0.0,0
aap.com.au,0.0,0
avenuenews.com,0.0,0
ayradvertiser.com,0.0,0
azfamily.com,0.0,0
babnet.net,0.0,0
ballotpedia.org,0.0,0
barrheadnews.com,0.0,0
barryanddistrictnews.co.uk,0.0,0
basingstokegazette.co.uk,0.0,0
beatricedailysun.com,0.0,0
bnd.com,0.5,0
benzinga.com,0.0,0
bestlifeonline.com,0.0,0
bettergov.org,0.0,0
bicesteradvertiser.net,0.0,0
bigcountry995.com,0.0,0
bignewsnetwork.com,0.0,0
bigthink.com,0.0,0
sunherald.com,0.0,0
biography.com,0.0,0
bismarcktribune.com,0.0,0
blastingnews.com,0.0,0
