domain,reliability_label,wiki_citation
9news.com,1,0
nbc11news.com,1,0
12news.com,1,0
wibw.com,1,0
wifr.com,1,0
247wallst.com,1,0
24ur.com,0,0
38north.org,1,0
audacy.com,1,0
join1440.com,1,0
abc7chicago.com,1,0
abc7ny.com,1,0
abc12.com,1,0
abs-cbn.com,1,0
actionnewsjax.com,1,0
adfontesmedia.com,1,0
lenconnect.com,1,0
adweek.com,1,0
africacheck.org,1,0
agdaily.com,1,0
afp.com,1,0
ansa.it,1,0
agerpres.ro,1,0
agweb.com,1,0
ahwatukee.com,1,0
airforcetimes.com,1,0
airwars.org,1,0
alabamanow.com,1,0
alreporter.com,1,0
democratherald.com,1,0
ad.nl,1,0
allafrica.com,1,0
gmfus.org,1,0
alloaadvertiser.com,1,0
thealpenanews.com,1,0
amarillo.com,1,0
americanheritage.com,1,0
americanpressinstitute.org,1,0
amomama.com,1,0
adn.com,1,0
independentmail.com,1,0
andoveradvertiser.co.uk,1,0
mlive.com,1,0
arcdigital.media,1,0
ardrossanherald.com,1,0
arirang.com,1,0
armytimes.com,1,0
arstechnica.com,1,0
asiatimes.com,1,0
summitdaily.com,1,0
athensmessenger.com,1,0
atlasobscura.com,1,0
auburnpub.com,1,0
aap.com.au,1,0
avenuenews.com,1,0
ayradvertiser.com,1,0
azfamily.com,1,0
babnet.net,0,0
ballotpedia.org,1,0
barrheadnews.com,1,0
barryanddistrictnews.co.uk,1,0
basingstokegazette.co.uk,1,0
beatricedailysun.com,1,0
bnd.com,1,0
benzinga.com,1,0
bestlifeonline.com,0,0
bettergov.org,1,0
bicesteradvertiser.net,1,0
bigcountry995.com,1,0
bignewsnetwork.com,0,0
bigthink.com,1,0
sunherald.com,1,0
biography.com,1,0
bismarcktribune.com,1,0
blastingnews.com,1,0
bleepingcomputer.com,1,0
bnonews.com,1,0
bordercountiesadvertizer.co.uk,1,0
borderreport.com,1,0
bordertelegraph.com,1,0
borehamwoodtimes.co.uk,1,0
bournemouthecho.co.uk,1,0
bozemandailychronicle.com,1,0
bracknellnews.co.uk,1,0
thetelegraphandargus.co.uk,1,0
braintreeandwithamtimes.co.uk,1,0
brentwoodlive.co.uk,1,0
bridgemi.com,1,0
bringmethenews.com,1,0
